item	image
20809485	Monet%20-%20Waterloo%20Bridge%2C%20Morning%20Fog%2C%201901.jpg
72692376	Monet%20-%20andre-lauvray%281%29.jpg
20538957	Monet%20-%20Meadow%20with%20Haystacks%20near%20Giverny%2C%201885.jpg
50014552	Monet%20Ext%C3%A9rieur%20de%20la%20gare%20Saint-Lazare%2C%20arriv%C3%A9e%20d%27un%20train.jpg
3821170	Bras%20de%20Seine%20pr%C3%A8s%20de%20Giverny%20%281897%29%20Claude%20Monet%20-%20Mus%C3%A9e%20d%27Orsay%20%28W%201487%29.jpg
113482581	Claude%20Monet%20-%20Le%20Parlement%2C%20soleil%20couchant%20%28W%201604%29.jpg
17494035	Claude%20Monet%20036.jpg
50772917	Monet%20-%20un%20bras%20de%20Seine%20pr%C3%A8s%20de%20V%C3%A9theuil.jpg
17492333	Monet%20-%20the-seine-seen-from-the-heights-chantemesle.jpg
17331228	Bloemen%20Rijksmuseum%20SK-A-2933.jpeg
96244371	Claude%20Monet%20-%20Pommiers%20en%20fleurs%20-%20ULC%20Chicago.jpg
67197624	Monet%20-%20Charing%20Cross%20Bridge%2C%20NMW%20A%202483.jpg
28797624	Claude%20Monet%20-%20The%20Water%20Lilies%20-%20The%20Two%20Willows%20-%20Google%20Art%20Project.jpg
28777026	Claude%20Monet%20-%20Waterloo%20Bridge%20-%20Google%20Art%20Project.jpg
50115235	Monet%20Ansicht%20von%20Vetheuil.jpg
17436681	Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20%28Morning%20effect%29.JPG
116241564	Monet%20-%20%C3%89tretat%2C%20L%27Aiguille%20et%20la%20Porte%20d%27Aval%2C%201885-1886.jpg
20809481	Monet%20-%20The%20Grande%20Creuse%20at%20Pont%20de%20Vervy%2C%201889.jpg
83901296	Morning%20on%20the%20Seine%2C%20Giverny%20-Matin%C3%A9e%20sur%20la%20Seine-%201966-48.jpg
106849734	Monet%20-%20Gorge%20of%20the%20Petit%20Ailly%2C%20Varengeville%2C%201897.jpg
24953827	Claude%20Monet%2C%20The%20Gare%20St-Lazare%2C%201877.jpg
50415977	Monet-Mont-Kolsaas-Marmottan-.jpg
47614358	Pheasant%20Claude%20Monet%201869.jpeg
17436693	Rouen%20Cathedral%20W1361.jpg
17494554	Claude%20Monet%20-%20Blue%20Water%20Lilies%20-%20Google%20Art%20Project.jpg
19198168	Claude%20Monet%20-%20Waterloo%20Bridge%20in%20London%20-%20Google%20Art%20Project.jpg
17436697	Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20and%20Tour%20d%27AlbaneI.JPG
104774128	Claude%20Monet%20-%20Spring%20in%20Giverny%20%281890%29.jpg
20267913	Claude%20Monet%20-%20Poppy%20Field%20%28Giverny%29%20-%201922.4465%20-%20Art%20Institute%20of%20Chicago.jpg
20421336	Claude%20Monet%20-%20V%C3%A9theuil%20-%20Google%20Art%20Project%20%28427751%29.jpg
93162092	Monet%20-%20Die%20Seine%20bei%20Rouen%2C%201874.jpg
24046541	Claude%20Monet%20-%20Fishing%20nets%20at%20Pourville%20-%20Google%20Art%20Project.jpg
77730416	Monet%20w1097.jpg
64511464	Monet%20-%20The%20Seine%20at%20Giverny%2C%201885.jpg
49468199	Claude%20Monet%20-%20Poplars%20%28Autumn%29%20II.JPG
30093031	Batch%20Mattes%2020130310%20NP%20%287%29.JPG
20188756	Ships%20Riding%20on%20the%20Seine%20at%20Rouen%20by%20Claude%20Monet%2C%201872.jpg
